;open;high;low;close;1h_chg%;24h_chg%;next_1h_chg;next_1h_high%;next_3h_high%;next_24h_chg;volume;qav;num_trades;taker_base_vol;taker_quote_vol;taker%;open_interest;oi_24h_chg%;oi_7d_chg%;%_long;%L_24h_chg%;%L_7d_chg%;fundings;fund_24h_chg;fund_7d_chg;liquidations_long;liquidations_short
22/12/2023 22:00;43706,25;43800;43665,24;43800;0,21%;-0,14%;0,39%;0,57%;0,57%;-0,22%;496,59798;21717333,52;26667;263,36247;11518506,3;53%;77446,571;-3,83%;2,42%;51,68;6,51%;-8,11%;0,018011;-1,09%;0,80%;0;0
22/12/2023 23:00;43800;44048,16;43785,62;43969,04;0,39%;0,32%;-0,35%;0,04%;0,04%;-0,59%;1233,38022;54205850,62;51702;673,98618;29619585,38;55%;77330,551;-3,58%;1,87%;51,65;7,16%;-8,05%;0,018011;-1,28%;0,80%;131,9976;131,9976
23/12/2023 00:00;43969,04;43988,68;43785,04;43813,89;-0,35%;-0,68%;-0,40%;0,20%;0,20%;-0,09%;912,50826;40055717,07;47104;384,45775;16875402,85;42%;77333,046;-5,10%;2,29%;50,65;4,54%;-10,12%;0,016285;-1,45%;0,63%;122628,871;122628,871
23/12/2023 01:00;43813,9;43900;43622,22;43638,46;-0,40%;-0,75%;-0,34%;0,10%;0,10%;0,25%;870,04299;38077778,3;44770;406,35776;17782398,58;47%;77141,457;-5,11%;2,91%;50,2;4,89%;-10,98%;0,016285;-1,45%;0,63%;165765,2493;165765,2493
23/12/2023 02:00;43638,46;43683,57;43461,13;43490,85;-0,34%;-1,18%;0,08%;0,27%;0,27%;0,49%;1341,71231;58460545,31;55007;550,99399;24012632,2;41%;77558,665;-4,69%;2,96%;50,27;5,83%;-10,93%;0,016285;-1,45%;0,63%;357239,267;357239,267
23/12/2023 03:00;43490,86;43608,13;43456;43526,43;0,08%;-1,31%;-0,05%;0,00%;0,19%;0,44%;913,07778;39761417,38;38927;497,45897;21662911,16;54%;78172,509;-4,09%;3,06%;51,13;7,85%;-8,92%;0,016285;-1,45%;0,63%;54690,2592;54690,2592
23/12/2023 04:00;43526,43;43526,43;43291,1;43504,03;-0,05%;-1,44%;0,05%;0,27%;0,30%;0,64%;1267,98614;55028714,62;54290;601,51011;26104117,26;47%;78184,899;-4,78%;2,82%;51,71;9,05%;-6,56%;0,016285;-1,45%;0,63%;197892,8352;197892,8352
23/12/2023 03:00;43490,86;43608,13;43456;43526,43;0,05%;-0,79%;-0,05%;0,00%;0,28%;0,76%;913,07778;39761417,38;38927;497,45897;21662911,16;54%;78172,509;-4,13%;2,86%;51,13;9,21%;-7,15%;0,016285;-1,45%;0,63%;54690,2592;54690,2592
23/12/2023 04:00;43526,43;43526,43;43291,1;43504,03;-0,05%;-0,18%;0,23%;0,27%;0,34%;0,76%;1267,98614;55028714,62;54290;601,51011;26104117,26;47%;78184,899;-3,45%;2,24%;51,71;10,21%;-6,15%;0,016285;-1,45%;0,63%;197892,8352;197892,8352
23/12/2023 05:00;43504,03;43620;43482,77;43605,97;0,23%;-0,01%;0,06%;0,10%;0,10%;0,43%;523,86504;22813417,74;26587;278,67946;12136196,31;53%;78509,754;-2,42%;2,27%;51,91;8,92%;-5,87%;0,016285;-1,33%;0,63%;0;0
