,time,open,high,low,close,volume,turnover,24h_high,breakout_24h,closed_above_breakout_24h,7d_high,breakout_7d,closed_above_breakout_7d,perf_break24h_h1,perf_break24h_h4,perf_break7d_h1,perf_break7d_h4,perf_break7d_h12,perf_break7d_h24,perf_break24h_h1_from_close,perf_break24h_h4_from_close,perf_break7d_h1_from_close,perf_break7d_h4_from_close,perf_break7d_h12_from_close,perf_break7d_h24_from_close,drawdown_max_h1,drawdown_max_h4,drawdown_max_h12,drawdown_max_h24
2021-04-28 12:59:20,1619614800000,2723.7,2727.05,2672.15,2707.05,8213.57,22234544.6685,2736.75,False,False,2736.75,False,False,,,,,,,,,,,,,-0.018926460329698473,-0.047251899988985505,-0.05863347652090899,-0.06817931490252224
2021-04-28 14:00:30,1619618400000,2707.05,2729.4,2696.65,2708.4,4939.08,13377004.272,2736.75,False,False,2736.75,False,False,,,,,,,,,,,,,-0.003841820431835426,-0.026301693725642405,-0.05284350122827439,-0.05284350122827439
2021-04-28 14:59:29,1619622000000,2708.4,2717.8,2660.35,2682.9,6424.94,17237471.526,2736.75,False,False,2736.75,False,False,,,,,,,,,,,,,-0.017741101757495267,-0.017741101757495267,-0.05331561069265991,-0.05331561069265991
2021-04-28 16:00:39,1619625600000,2682.9,2726.4,2669.0,2716.6,5505.11,14955181.826,2736.75,False,False,2736.75,False,False,,,,,,,,,,,,,-0.00518096090051813,-0.008405084050840577,-0.0443177159044318,-0.0443177159044318
2021-04-28 16:59:38,1619629200000,2716.6,2731.4,2702.15,2712.6,3346.89,9078773.814,2736.75,False,False,2736.75,False,False,,,,,,,,,,,,,-0.005319148936170146,-0.020706029595818302,-0.056173157623499934,-0.056173157623499934
2021-04-28 18:00:48,1619632800000,2712.6,2738.9,2707.35,2724.8,4121.95,11231489.36,2736.75,True,False,2736.75,True,False,0.0003105873755366435,-0.009007033890563659,0.0003105873755366435,-0.009007033890563659,-0.0013885082671052094,-0.0005298255229742644,0.004697592483851925,-0.004660892542572031,0.004697592483851925,-0.004660892542572031,0.0029910452143275235,0.0038534938344098645,-0.0019354125193541253,-0.01926196269261963,-0.04851434048514337,-0.05478139054781388
2021-04-28 18:59:47,1619636400000,2724.8,2743.8,2713.55,2737.6,5479.8,15001500.48,2738.9,True,False,2738.9,True,False,-0.011993866150644386,0.00332250173427285,-0.011993866150644386,0.00332250173427285,-0.002793092117273391,-0.003979699879513706,-0.01152469316189353,0.003798947983635334,-0.01152469316189353,0.003798947983635334,-0.00231954997077729,-0.003506721215663322,-0.00412874339401057,-0.02047856723429249,-0.05277451556077516,-0.059013505578391134
2021-04-28 20:00:57,1619640000000,2737.6,2749.0,2667.0,2706.05,16079.29,43511362.7045,2743.8,True,False,2743.8,True,False,0.004810846271594073,-0.007252715212479077,0.004810846271594073,-0.007252715212479077,-0.00912967417450258,-0.012282236314600289,0.018828181297463022,0.0065963304447441504,0.018828181297463022,0.0065963304447441504,0.004693187487296915,0.0014966464034292517,-0.025789012273524224,-0.025789012273524224,-0.05720338983050844,-0.0634132086499123
2021-04-28 20:59:56,1619643600000,2706.05,2760.45,2695.0,2757.0,7809.04,21529523.28,2749.0,True,True,2749.0,True,True,-0.013423062931975297,-0.009421607857402725,-0.013423062931975297,-0.009421607857402725,0.0052746453255729355,-0.00327391778828665,-0.016285817918026874,-0.01229597388465727,-0.016285817918026874,-0.01229597388465727,0.0023576351106274936,-0.006166122597025753,-0.0040834426562702765,-0.014430627667633701,-0.04103767483971108,-0.052493486816577735
2021-04-28 21:58:55,1619647200000,2757.0,2762.05,2706.0,2712.1,4871.84,13212917.264,2760.45,True,False,2760.45,True,False,-0.004510134217247122,-0.014508504048252904,-0.004510134217247122,-0.014508504048252904,0.004546360194895826,0.0007607455306201395,0.013236975037793626,0.0030603591313005355,0.013236975037793626,0.0030603591313005355,0.022454924228457688,0.018601821466760177,-0.018498367791077257,-0.03264417845484222,-0.04394269133115709,-0.07000362713093942
2021-04-28 23:00:05,1619650800000,2712.1,2751.2,2709.1,2748.0,4526.52,12438876.96,2762.05,False,False,2762.05,False,False,,,,,,,,,,,,,-0.0011061539028796874,-0.016629180339957934,-0.019081154824674606,-0.054607131005493866
2021-04-28 23:59:04,1619654400000,2748.0,2756.35,2718.55,2723.9,4515.26,12299116.714,2762.05,False,False,2762.05,False,False,,,,,,,,,,,,,-0.010716885007277955,-0.01928675400291121,-0.0318959243085881,-0.06695778748180495
2021-04-29 01:00:14,1619658000000,2723.9,2727.45,2699.95,2723.1,4846.97,13198784.007,2762.05,False,False,2762.05,False,False,,,,,,,,,,,,,-0.008792540107933578,-0.008792540107933578,-0.0233305187415104,-0.058702595543155066
2021-04-29 01:59:13,1619661600000,2723.1,2737.95,2707.0,2720.4,3268.39,8891328.156,2762.05,False,False,2762.05,False,False,,,,,,,,,,,,,-0.005912379273621942,-0.008501340384121071,-0.023043590026073226,-0.058426058536227066
2021-04-29 03:00:23,1619665200000,2720.4,2723.5,2686.4,2697.4,3598.62,9706917.588,2762.05,False,False,2762.05,False,False,,,,,,,,,,,,,-0.012498162034994853,-0.012498162034994853,-0.01962946625496254,-0.05749154536097636
2021-04-29 03:59:22,1619668800000,2697.4,2697.4,2671.7,2682.05,5434.61,14575895.7505,2762.05,False,False,2762.05,False,False,,,,,,,,,,,,,-0.00952769333432204,-0.00952769333432204,-0.011270111959664895,-0.0494550307703715
2021-04-29 05:00:32,1619672400000,2682.05,2721.0,2678.95,2719.45,3956.36,10759123.202,2762.05,False,False,2762.05,False,False,,,,,,,,,,,,,-0.0011558322924629905,-0.003858988460319667,-0.0056113793553439276,-0.04401483939523878
2021-04-29 05:59:31,1619676000000,2719.45,2736.75,2710.85,2732.95,3049.55,8334267.6725,2762.05,False,False,2762.05,False,False,,,,,,,,,,,,,-0.003162404162606376,-0.017558697530750705,-0.019286988177756467,-0.05091102980382056
2021-04-29 07:00:41,1619679600000,2732.95,2737.45,2724.2,2731.25,1908.1,5211498.125,2762.05,False,False,2762.05,False,False,,,,,,,,,,,,,-0.0032016685266836203,-0.022411679686785344,-0.024131433066832478,-0.055599260871951495
2021-04-29 07:59:40,1619683200000,2731.25,2732.05,2709.25,2718.75,2283.83,6209162.8125,2762.05,False,False,2762.05,False,False,,,,,,,,,,,,,-0.00805491990846682,-0.019148741418764367,-0.0218032036613273,-0.055011441647597255
2021-04-29 09:00:50,1619686800000,2718.75,2776.1,2708.45,2763.5,10718.97,29621873.595,2762.05,True,True,2762.05,True,True,0.003964446697199478,-0.00496008399558309,0.003964446697199478,-0.00496008399558309,-0.007983200883401886,0.005666081352618394,0.0034376696218563416,-0.005482178396960409,0.0034376696218563416,-0.005482178396960409,-0.008503709064592004,0.005138411434774676,-0.0037885057471265036,-0.0037885057471265036,-0.017305747126436847,-0.04551724137931035
2021-04-29 09:59:49,1619690400000,2763.5,2773.75,2758.1,2773.0,3003.88,8329759.24,2776.1,False,False,2776.1,False,False,,,,,,,,,,,,,-0.0019540437850552165,-0.01992039080875708,-0.03321874434593819,-0.0461914239189434
2021-04-29 11:00:59,1619694000000,2773.0,2773.7,2755.0,2763.05,3441.42,9508815.531,2776.1,False,False,2776.1,False,False,,,,,,,,,,,,,-0.006491164803461955,-0.02327803822574835,-0.03653083303281651,-0.0406238730616661
2021-04-29 11:59:58,1619697600000,2763.05,2798.0,2757.8,2787.2,6140.11,17113714.592,2776.1,True,True,2776.1,True,True,-0.009996037606714456,-0.01709232376355312,-0.009996037606714456,-0.01709232376355312,-0.014732898670797195,-0.009167537192464183,-0.013938719862227293,-0.021006745120550993,-0.013938719862227293,-0.021006745120550993,-0.01865671641791045,-0.013113518943742727,-0.001900074193373265,-0.019760771611082088,-0.03306129096469494,-0.03716907041132092
2021-04-29 12:58:57,1619701200000,2787.2,2790.0,2748.0,2748.35,8474.59,23291139.4265,2798.0,False,False,2798.0,False,False,,,,,,,,,,,,,-0.014064293915040119,-0.014064293915040119,-0.0414394374282434,-0.04551162456946036
2021-04-29 14:00:07,1619704800000,2748.35,2776.05,2742.35,2765.05,3775.45,10439308.0225,2798.0,False,False,2798.0,False,False,,,,,,,,,,,,,-0.0021831280586533737,-0.0021831280586533737,-0.027889460949296885,-0.03201921152691615
2021-04-29 14:59:06,1619708400000,2765.05,2794.0,2761.5,2780.0,4281.64,11902959.2,2798.0,False,False,2798.0,False,False,,,,,,,,,,,,,-0.0012838827507640664,-0.008209616462631877,-0.033760691488399976,-0.03546047991898887
2021-04-29 16:00:16,1619712000000,2780.0,2786.6,2727.45,2728.65,5894.24,16083317.976,2798.0,False,False,2798.0,False,False,,,,,,,,,,,,,-0.018902877697841793,-0.018902877697841793,-0.03634892086330942,-0.04064748201438849
2021-04-29 16:59:15,1619715600000,2728.65,2752.3,2716.1,2733.0,6282.9,17171165.7,2798.0,False,False,2798.0,False,False,,,,,,,,,,,,,-0.004599343997947769,-0.004599343997947769,-0.007402928187931861,-0.022593590236930382
2021-04-29 18:00:25,1619719200000,2733.0,2742.0,2701.95,2735.3,5842.33,15980525.249,2798.0,False,False,2798.0,False,False,,,,,,,,,,,,,-0.011361141602634534,-0.011361141602634534,-0.011361141602634534,-0.024149286498353458
2021-04-29 18:59:24,1619722800000,2735.3,2739.0,2720.4,2728.0,2370.06,6465523.68,2798.0,False,False,2798.0,False,False,,,,,,,,,,,,,-0.005447300113333123,-0.012192446897963793,-0.012192446897963793,-0.024969838774540336
2021-04-29 20:00:34,1619726400000,2728.0,2732.45,2685.85,2710.1,7011.61,19002164.261,2798.0,False,False,2798.0,False,False,,,,,,,,,,,,,-0.015450879765395928,-0.015450879765395928,-0.015450879765395928,-0.020637829912023526
2021-04-29 20:59:33,1619730000000,2710.1,2740.0,2699.75,2740.0,2716.96,7444470.4,2798.0,False,False,2798.0,False,False,,,,,,,,,,,,,-0.0038190472676284675,-0.008948009298549869,-0.008948009298549869,-0.014169218848013022
2021-04-29 22:00:43,1619733600000,2740.0,2767.9,2733.6,2762.55,5883.8,16254291.69,2798.0,False,False,2798.0,False,False,,,,,,,,,,,,,-0.0023357664233576974,-0.01976277372262777,-0.01976277372262777,-0.02492700729927014
2021-04-29 22:59:42,1619737200000,2762.55,2771.9,2752.35,2758.85,2144.19,5915498.5815,2798.0,False,False,2798.0,False,False,,,,,,,,,,,,,-0.003692240864418842,-0.02776420336283516,-0.02776420336283516,-0.032886282601220014
2021-04-30 00:00:52,1619740800000,2758.85,2770.0,2728.75,2735.2,4902.17,13408415.384,2798.0,False,False,2798.0,False,False,,,,,,,,,,,,,-0.010910343077731631,-0.021421969298802006,-0.026460300487521977,-0.03158924914366497
2021-04-30 00:59:51,1619744400000,2735.2,2754.25,2729.4,2747.1,2639.06,7249761.726,2798.0,False,False,2798.0,False,False,,,,,,,,,,,,,-0.0021205030710733136,-0.0023581456566246777,-0.018042556303012543,-0.023215852588476166
2021-04-30 02:01:01,1619748000000,2747.1,2748.35,2728.05,2739.05,1102.68,3020295.654,2798.0,False,False,2798.0,False,False,,,,,,,,,,,,,-0.006934585562957202,-0.006934585562957202,-0.022296239670925703,-0.027447126060208982
2021-04-30 03:00:00,1619751600000,2739.05,2747.7,2731.75,2744.3,1391.36,3818309.248,2798.0,False,False,2798.0,False,False,,,,,,,,,,,,,-0.0026651576276446876,-0.004015990945765867,-0.01942279257406775,-0.024588817290666604
2021-04-30 03:58:59,1619755200000,2744.3,2766.55,2744.3,2766.55,1506.55,4167945.9025,2798.0,False,False,2798.0,False,False,,,,,,,,,,,,,0.0,-0.005921364282330649,-0.021298691833983262,-0.023812994206172926
