,entry strat, entry_strategy, sl_strategy, tp_strategy, num trades, perf, avg_perf, win_rate
191253,{'duration_above_SMA20_d': ['x > 5']  'longs_24h_chg%': ['x < -3']  'long_%': ['x > 50']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_low,tp_x_sigma_2.5,8,12.79,1.6,37.5
43470,{'closed_green': ['x == True']  'longs_24h_chg%': ['x < -5']  'fundings_rank': ['x == 2']  'n_hours_breakout_close': ['x > 720']},entry_close,sl_x_percent_1,tp_x_sigma_2.5,8,12.79,1.6,62.5
136913,{'prev_24h_chg': ['x > 0']  'fundings_rank': ['x == 1']  'long_%': ['x < 60']  'n_hours_breakout_close': ['x > 336']},entry_close,sl_low,tp_x_sigma_3,11,12.79,1.16,45.5
179813,{'7d_volume_per_trade_rank': ['x == 2']  '30d_volume_rank': ['x == 2']  'long_%': ['x > 40']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_x_sigma_1.5,tp_xpercent_3,17,12.79,0.75,64.7
165590,{'relative_volume': ['x > 3']  'prev_3h_chg': ['x > 0']  'long_%': ['x < 50']  'n_hours_breakout_high': ['x > 336']},entry_close,sl_low,tp_x_sigma_1.5,13,12.78,0.98,61.5
76021,{'relative_volume': ['x > 2']  'oi_24h_chg%': ['x > 1']  'long_%': ['x < 60']  'n_hours_breakout_close': ['x > 336']},entry_close,sl_x_sigma_1,tp_xpercent_3,15,12.78,0.85,40.0
178865,{'relative_volume': ['x > 2']  'prev_3h_chg': ['x > 0']  'long_%': ['x < 80']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_x_sigma_1.5,tp_xpercent_2.5,20,12.78,0.64,60.0
150685,{'30d_volume_per_trade_rank': ['x == 2']  'oi_24h_chg%': ['x > 1']  'long_%': ['x < 80']  'n_hours_breakout_close': ['x > 336']},entry_close,sl_half_low,tp_xpercent_3,18,12.78,0.71,27.8
75487,{'relative_volume': ['x > 2']  'oi_24h_chg%': ['x > 1']  '30d_volume_rank': ['x == 2']  'n_hours_breakout_close': ['x > 336']},entry_close,sl_x_sigma_1,tp_xpercent_3,15,12.78,0.85,40.0
176428,{'relative_volume': ['x > 2']  'prev_3h_chg': ['x > 0']  'long_%': ['x < 70']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_x_sigma_1.5,tp_xpercent_2.5,20,12.78,0.64,60.0
189227,{'7d_volume_per_trade_rank': ['x == 2']  'longs_24h_chg%': ['x < -1']  'prev_3h_chg': ['x > 2']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_low,tp_xpercent_2,7,12.78,1.83,85.7
47306,{'7d_volume_per_trade_rank': ['x == 2']  'h1_chg': ['x > 1']  'n_hours_breakout_high': ['x > 336']  'n_hours_breakout_close': ['x > 168']},entry_close,sl_half_low,tp_xpercent_3,11,12.77,1.16,45.5
56296,{'week_end': ['x == False']  'prev_24h_chg': ['x > 3']  'long_%': ['x < 70']  'n_hours_breakout_close': ['x > 168']},entry_close,sl_previous_low,tp_xpercent_4,15,12.77,0.85,46.7
167937,{'duration_above_SMA20_d': ['x > 1']  'longs_24h_chg%': ['x < -2']  '30d_volume_rank': ['x == 2']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_previous_low,tp_x_sigma_2,22,12.77,0.58,45.5
34917,{'longs_24h_chg%': ['x < -2']  '30d_volume_rank': ['x == 2']  'long_%': ['x < 70']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_previous_low,tp_x_sigma_2,22,12.77,0.58,45.5
168461,{'closed_green': ['x == True']  'h1_chg': ['x > 1']  'prev_3h_chg': ['x > 0']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_x_sigma_1.5,tp_xpercent_5,11,12.76,1.16,45.5
32945,{'week_end': ['x == False']  'longs_24h_chg%': ['x < -3']  'prev_24h_chg': ['x > 3']  'n_hours_breakout_high': ['x > 336']},entry_close,sl_x_sigma_1.5,tp_xpercent_2,14,12.76,0.91,92.9
110395,{'duration_above_SMA20_d': ['x > 3']  '30d_volume_per_trade_rank': ['x == 2']  'longs_1h_chg%': ['x < -1']  'n_hours_breakout_high': ['x > 336']},entry_close,sl_previous_low,tp_xpercent_2,15,12.76,0.85,53.3
118673,{'30d_volume_per_trade_rank': ['x == 2']  'longs_24h_chg%': ['x < -1']  'oi_24h_chg%': ['x > 1']  'n_hours_breakout_close': ['x > 336']},entry_close,sl_low,tp_x_sigma_3,11,12.76,1.16,45.5
56315,{'relative_volume': ['x > 3']  'prev_3h_chg': ['x > 0']  'fundings_rank': ['x == 2']  'n_hours_breakout_high': ['x > 720']},entry_close,sl_x_sigma_1,tp_xpercent_2.5,8,12.76,1.6,75.0
170587,{'30d_volume_per_trade_rank': ['x == 2']  'longs_24h_chg%': ['x < -1']  '30d_volume_rank': ['x == 2']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_low,tp_xpercent_2.5,20,12.76,0.64,45.0
102007,{'duration_above_SMA20_d': ['x > 5']  '30d_volume_per_trade_rank': ['x == 2']  'longs_24h_chg%': ['x < -1']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_low,tp_xpercent_2.5,20,12.76,0.64,45.0
118030,{'duration_above_SMA20_d': ['x > 3']  '7d_volume_per_trade_rank': ['x == 2']  'longs_24h_chg%': ['x < -1']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_low,tp_xpercent_2.5,20,12.76,0.64,45.0
29949,{'7d_volume_per_trade_rank': ['x == 2']  'relative_volume': ['x > 3']  'n_hours_breakout_high': ['x > 168']  'n_hours_breakout_close': ['x > 168']},entry_close,sl_x_sigma_2,tp_x_sigma_2.5,12,12.75,1.06,91.7
11502,{'mainly_full_green': ['x == True']  'relative_volume': ['x > 3']  '30d_volume_rank': ['x == 2']  'n_hours_breakout_close': ['x > 168']},entry_close,sl_x_sigma_2,tp_xpercent_2.5,12,12.73,1.06,83.3
10125,{'7d_volume_per_trade_rank': ['x == 2']  'prev_3h_chg': ['x > 0']  'n_hours_breakout_high': ['x > 336']  'n_hours_breakout_close': ['x > 168']},entry_close,sl_previous_low,tp_x_sigma_2,15,12.73,0.85,66.7
191937,{'duration_above_SMA20_d': ['x > 5']  '7d_dollar_volume_rank': ['x == 2']  'oi_1h_chg%': ['x > 1']  'n_hours_breakout_high': ['x > 168']},entry_close,sl_previous_low,tp_xpercent_1.5,11,12.73,1.16,72.7
65342,{'mainly_full_green': ['x == True']  'duration_above_SMA20_d': ['x > 2']  'longs_24h_chg%': ['x < -2']  'n_hours_breakout_close': ['x > 336']},entry_close,sl_half_low,tp_x_sigma_3,16,12.73,0.8,25.0
142876,{'closed_green': ['x == True']  '30d_dollar_volume_rank': ['x == 2']  'prev_3h_chg': ['x > 0']  'n_hours_breakout_high': ['x > 336']},entry_close,sl_x_sigma_1,tp_xpercent_4,16,12.73,0.8,37.5
90951,{'duration_above_SMA20_d': ['x > 3']  'long_%': ['x < 60']  'n_hours_breakout_high': ['x > 1440']  'n_hours_breakout_close': ['x > 336']},entry_close,sl_half_low,tp_x_sigma_2.5,14,12.72,0.91,42.9
150641,{'30d_volume_per_trade_rank': ['x == 2']  'oi_24h_chg%': ['x > 1']  'long_%': ['x < 80']  'n_hours_breakout_close': ['x > 336']},entry_close,sl_low,tp_x_sigma_3,15,12.72,0.85,46.7
9789,{'duration_above_SMA20_d': ['x > 2']  '30d_volume_per_trade_rank': ['x == 2']  'long_%': ['x < 60']  'n_hours_breakout_close': ['x > 336']},entry_close,sl_x_sigma_1.5,tp_xpercent_3,19,12.72,0.67,57.9
79408,{'duration_above_SMA20_d': ['x > 1']  'relative_volume': ['x > 2']  'prev_24h_chg': ['x > 0']  'n_hours_breakout_high': ['x > 4320']},entry_close,sl_half_low,tp_x_sigma_2.5,14,12.72,0.91,42.9
15487,{'closed_green': ['x == True']  'duration_above_SMA20_d': ['x > 2']  '30d_dollar_volume_rank': ['x == 2']  'n_hours_breakout_close': ['x > 336']},entry_close,sl_x_sigma_1.5,tp_xpercent_2,26,12.72,0.49,65.4
